cluster_id,cluster_size,square_indices
1,1,0
2,1,1
3,1,2
4,1,3
5,1,4
6,1,5
7,1,6
8,1,7
9,1,8
10,1,9
11,1,10
12,1,11
13,1,12
14,1,13
15,1,14
16,1,15
17,1,16
18,1,17
19,1,18
20,1,19
21,1,20
22,1,21
23,1,22
24,1,23
25,1,24
26,1,25
27,1,26
28,1,27
29,1,28
30,1,29
31,1,30
32,1,31
33,1,32
34,1,33
35,1,34
36,1,35
37,1,36
38,1,37
39,1,38
40,1,39
41,1,40
42,1,41
43,1,42
44,1,43
45,1,44
46,1,45
47,1,46
48,1,47
49,1,48
50,1,49
51,1,50
52,1,51
53,1,52
54,1,53
55,1,54
56,1,55
57,1,56
58,1,57
59,1,58
60,1,59
61,1,60
62,1,61
63,1,62
64,1,63
65,1,64
66,1,65
67,1,66
68,1,67
69,1,68
70,1,69
71,1,70
72,1,71
73,1,72
74,1,73
75,1,74
76,1,75
77,1,76
78,1,77
79,1,78
80,1,79
81,1,80
82,1,81
83,1,82
84,1,83
85,1,84
86,1,85
87,1,86
88,1,87
89,1,88
90,1,89
91,1,90
92,1,91
93,1,92
94,1,93
95,1,94
96,1,95
97,1,96
98,1,97
99,1,98
100,1,99
101,1,100
102,1,101
103,1,102
104,1,103
105,1,104
106,1,105
107,1,106
108,1,107
109,1,108
110,1,109
111,1,110
112,1,111
113,1,112
114,1,113
115,1,114
116,1,115
117,1,116
118,1,117
119,1,118
120,1,119
121,1,120
122,1,121
123,1,122
124,1,123
125,1,124
126,1,125
127,1,126
